name,mass,spin,quark_content,lifetime,decay_modes
π⁺,139.57039,0,u d̄,2.6033e-8,μ⁺ ν_μ:99.987, e⁺ ν_e:0.013
π⁰,134.9770,0,(uū - dd̄)/√2,8.52e-17,γ γ:98.823, e⁺ e⁻ γ:1.177
K⁺,493.677,0,u s̄,1.2380e-8,μ⁺ ν_μ:63.56, π⁰ e⁺ ν_e:5.07, π⁰ μ⁺ ν_μ:3.35
K_L,497.611,0,(d s̄ - s d̄)/√2,5.116e-8,π⁺ e⁻ ν̄_e:40.55, π⁺ μ⁻ ν̄_μ:27.04, π⁰ π⁰ π⁰:19.52
K_S,497.611,0,(d s̄ + s d̄)/√2,8.954e-11,π⁺ π⁻:69.20, π⁰ π⁰:30.69
