time(s),raw_intensity,transmitted_intensity,polarization_angle(deg),gw_metric_factor,epsilon(J/m^3),pressure(J/m^3),spin_density
0.00000000000000024956955,1,0.000000000000000000000000000000003749399456654644,180,1,27380510418489344000000000000000000,4110596654331780500000000000000000,165470572666227700
0.00000000000000025511554,1,0.000000000000000000000000000000003749399456654644,180,1,25957280813349187000000000000000000,3896486811209000000000000000000000,161112633934614800
0.00000000000000026066153,1,0.000000000000000000000000000000003749399456654644,180,1,24610834503028380000000000000000000,3694024157214024000000000000000000,156878406745569600
0.00000000000000026620752,1,0.000000000000000000000000000000003749399456654644,180,1,23337029025662687000000000000000000,3502557225509023700000000000000000,152764619678977660
0.00000000000000027175351,1,0.000000000000000000000000000000003749399456654644,180,1,22131945405373185000000000000000000,3321475702328936000000000000000000,148768092699251840
0.0000000000000002772995,1,0.000000000000000000000000000000003749399456654644,180,1,20991876095188298000000000000000000,3150206538147116000000000000000000,144885734615897570
0.00000000000000028284548999999997,1,0.000000000000000000000000000000003749399456654644,180,1,19913313570445654000000000000000000,2988210759624132300000000000000000,141114540606011460
0.00000000000000028839147999999997,1,0.000000000000000000000000000000003749399456654644,180,1,18892939537580417000000000000000000,2834980792587588000000000000000000,137451589796482220
0.00000000000000029393747,1,0.000000000000000000000000000000003749399456654644,180,1,17927614725099948000000000000000000,2690038165703129000000000000000000,133894042903707800
0.00000000000000029948346,1,0.000000000000000000000000000000003749399456654644,180,1,17014369225335730000000000000000000,2552931504138775700000000000000000,130439139928687550
0.00000000000000030502945,1,0.000000000000000000000000000000003749399456654644,180,1,16150393357258177000000000000000000,2423234749247912600000000000000000,127084197905397260
0.00000000000000031057544,1,0.000000000000000000000000000000003749399456654644,180,1,15333029022243040000000000000000000,2300545558495260600000000000000000,123826608700404300
0.00000000000000031612143,1,0.000000000000000000000000000000003749399456654644,180,1,14559761526194437000000000000000000,2184483852370948200000000000000000,120663836861731020
0.00000000000000032166742,1,0.000000000000000000000000000000003749399456654644,180,1,13828211842864794000000000000000000,2074690483741135200000000000000000,117593417515032670
0.00000000000000032721340999999997,1,0.000000000000000000000000000000003749399456654644,180,1,13136129294568895000000000000000000,1970826011196797000000000000000000,114612954305213230
