time,a,avg_photon_density,avg_neutrino_density,avg_energy_density,avg_metric_pert,avg_gw
0,9792.727839428137,0.10000000000001588,0.00999999996837602,1,0.00009999989999998634,0.000000999989000110098
0.00001,9792.82576670653,0.10000000000001588,0.009999999936753455,1,0.00009999980000008877,0.0000009999780003408937
0.00002,9792.923694964196,0.10000000000001588,0.009999999905133165,1,0.00009999970000029734,0.0000009999670006928853
0.000030000000000000004,9793.021624201147,0.10000000000001588,0.009999999873510603,1,0.00009999960000061549,0.0000009999560011658447
0.00004,9793.119554417388,0.10000000000001588,0.0099999998418852,1,0.00009999950000097448,0.0000009999450017600198
0.00005,9793.217485612931,0.10000000000001588,0.009999999810262637,1,0.00009999940000149409,0.0000009999340024747872
0.00006000000000000001,9793.315417787788,0.10000000000001588,0.009999999778642348,1,0.0000999993000021241,0.0000009999230033107663
0.00007000000000000001,9793.413350941966,0.10000000000001588,0.009999999747019787,1,0.00009999920000280799,0.0000009999120042677065
0.00008,9793.511285075476,0.10000000000001588,0.009999999715394385,1,0.00009999910000358479,0.0000009999010053458686
0.00009,9793.609220188326,0.10000000000001588,0.009999999683771823,1,0.00009999900000448418,0.0000009998900065446165
0.0001,9793.707156280527,0.10000000000001588,0.009999999652151544,1,0.0000999989000054765,0.0000009998790078645616
0.00011,9793.80509335209,0.10000000000001588,0.009999999620528985,1,0.00009999880000657836,0.000000999868009305487
0.00012000000000000002,9793.903031403024,0.10000000000001588,0.009999999588903618,1,0.00009999870000778614,0.000000999857010867254
0.00013000000000000002,9794.000970433339,0.10000000000001588,0.009999999557281059,1,0.00009999860000908965,0.0000009998460125502565
0.00014000000000000001,9794.098910443043,0.10000000000001588,0.009999999525660781,1,0.00009999850001051642,0.0000009998350143542854
0.00015000000000000001,9794.196851432147,0.10000000000001588,0.009999999494038363,1,0.00009999840001198405,0.0000009998240162787728
0.00016,9794.29479340066,0.10000000000001588,0.009999999462412973,1,0.00009999830001360986,0.0000009998130183244993
0.00017,9794.392736348595,0.10000000000001588,0.009999999430790451,1,0.00009999820001527909,0.0000009998020204914801
0.00018,9794.490680275958,0.10000000000001588,0.009999999399170173,1,0.00009999810001712384,0.0000009997910227793876
0.00019,9794.588625182761,0.10000000000001588,0.00999999936754989,1,0.00009999800001900945,0.0000009997800251881705
0.0002,9794.686571069013,0.10000000000001588,0.009999999335927342,1,0.00009999790002101485,0.0000009997690277178747
0.00021,9794.784517934724,0.10000000000001588,0.009999999304301977,1,0.00009999780002311511,0.0000009997580303684993
0.00022,9794.882465779903,0.10000000000001588,0.009999999272679432,1,0.00009999770002531256,0.0000009997470331400001
0.00023,9794.98041460456,0.10000000000001588,0.00999999924105929,1,0.00009999760002757366,0.0000009997360360324212
0.00024000000000000003,9795.078364408706,0.10000000000001588,0.009999999209436778,1,0.00009999750002998583,0.0000009997250390460816
0.00025,9795.17631519235,0.10000000000001588,0.00999999917781139,1,0.00009999740003251858,0.0000009997140421809161
0.00026000000000000003,9795.274266955501,0.10000000000001588,0.00999999914618941,1,0.00009999730003509152,0.0000009997030454360545
0.00027,9795.37221969817,0.10000000000001588,0.009999999114569164,1,0.00009999720003781552,0.0000009996920488126854
0.00028000000000000003,9795.470173420368,0.10000000000001588,0.009999999082946761,1,0.00009999710004060483,0.0000009996810523099611
0.00029,9795.568128122102,0.10000000000001588,0.009999999051321408,1,0.00009999700004348885,0.0000009996700559287668
0.00030000000000000003,9795.666083803384,0.10000000000001588,0.009999999019701136,1,0.00009999690004647979,0.000000999659059667775
0.00031,9795.764040464222,0.10000000000001588,0.009999998988078627,1,0.00009999680004958014,0.0000009996480635280205
0.00032,9795.861998104627,0.10000000000001588,0.009999998956458499,1,0.00009999670005278984,0.000000999637067509521
0.00033000000000000005,9795.959956724608,0.10000000000001588,0.009999998924835989,1,0.00009999660005610568,0.0000009996260716115624
0.00034,9796.057916324175,0.10000000000001588,0.009999998893211171,1,0.00009999650005951786,0.0000009996150758348974
0.00035000000000000005,9796.155876903338,0.10000000000001588,0.009999998861588663,1,0.00009999640006298068,0.0000009996040801790908
0.00036,9796.253838462108,0.10000000000001588,0.009999998829968536,1,0.00009999630006660838,0.0000009995930846438255
0.00037000000000000005,9796.351801000492,0.10000000000001588,0.009999998798346028,1,0.00009999620007028996,0.0000009995820892301285
0.00038,9796.449764518502,0.10000000000001588,0.009999998766725767,1,0.00009999610007407768,0.0000009995710939370162
0.00039000000000000005,9796.547729016147,0.10000000000001588,0.00999999873510042,1,0.00009999600007801722,0.0000009995600987650925
0.0004,9796.645694493438,0.10000000000001588,0.009999998703478055,1,0.00009999590008200746,0.0000009995491037136895
0.00041000000000000005,9796.743660950382,0.10000000000001588,0.009999998671858364,1,0.00009999580008610701,0.0000009995381087835608
0.00042,9796.841628386992,0.10000000000001588,0.009999998640235857,1,0.00009999570009031595,0.0000009995271139743292
0.00043000000000000004,9796.939596803275,0.10000000000001588,0.009999998608610651,1,0.00009999560009457635,0.0000009995161192859923
0.00044,9797.037566199244,0.10000000000001588,0.009999998576990392,1,0.00009999550009898693,0.0000009995051247185546
0.00045000000000000004,9797.135536574906,0.10000000000001588,0.009999998545368032,1,0.00009999540010351832,0.0000009994941302723052
0.00046,9797.233507930272,0.10000000000001588,0.009999998513747808,1,0.00009999530010808974,0.0000009994831359466403
0.00047000000000000004,9797.331480265351,0.10000000000001588,0.009999998482125872,1,0.00009999520011281238,0.0000009994721417421633
0.00048000000000000007,9797.429453580155,0.10000000000001588,0.009999998450500642,1,0.00009999510011760017,0.0000009994611476585646
